rank,ticker,sector,industry,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,date
14,BUVA,Consumer Cyclical,Lodging,193414913,610.0,362.14,-355.24,-423.83,-71.9,900.0,26.0,-10.8,-25.7,-39.5,-38.9,97,9,8,41,99,,,,,top1,1,2026-06-08
15,SOFA,Utilities,Utilities - Renewable,4496370,264.0,347.06,-88.23,31.22,-55.3,514.0,40.4,-26.0,-26.7,-35.8,-19.1,97,16,25,86,96,,,,,,0,2026-06-08
16,UANG,Consumer Cyclical,Leisure,437353,2000.0,342.94,-366.94,-543.81,-73.3,905.0,24.7,-17.1,-26.4,-40.3,-43.2,97,5,12,5,98,,,,,top2,1,2026-06-08
17,ARKO,Utilities,Utilities - Renewable,3747500,4340.0,334.67,-445.13,-774.87,-63.3,474.8,32.4,-23.6,-35.0,-43.8,-16.9,96,0,6,98,96,,,,top2,,1,2026-06-08
18,ENRG,Energy,Oil & Gas E&P,89261976,1200.0,306.3,-97.88,-94.61,-45.5,460.7,49.6,-12.2,-17.5,-25.5,-3.6,96,31,47,92,97,,,,,,0,2026-06-08
19,HRTA,Consumer Cyclical,Luxury Goods,13644120,2240.0,281.82,-27.07,-50.12,-31.1,293.0,62.3,-5.2,-7.6,-12.3,19.8,96,58,68,97,95,,,,,,0,2026-06-08
20,PSKT,Consumer Cyclical,Lodging,28928426,167.0,277.78,-145.5,-202.77,-58.5,421.9,36.5,-16.1,-23.7,-32.1,-22.6,96,18,14,88,97,,,,,,0,2026-06-08
21,CASH,Industrials,Business Equipment & Supplies,5303783,169.0,262.58,-55.87,-144.67,-36.5,196.5,53.6,-15.2,-21.1,-17.9,18.3,95,32,95,96,94,,,,,,0,2026-06-08
22,AMMS,Consumer Defensive,Farm Products,336123,336.0,262.57,-114.7,-72.03,-43.5,433.3,51.3,-8.3,-10.6,-13.8,-11.0,95,68,60,39,97,,,,,,0,2026-06-08
23,TINS,Basic Materials,Other Industrial Metals & Mining,74105210,3150.0,245.66,-3.07,-15.86,-31.5,221.4,59.9,-2.2,-5.2,-10.7,7.3,95,70,66,80,94,,,,,,0,2026-06-08
24,AGII,Basic Materials,Chemicals,611633,2600.0,243.95,-2.1,67.72,-27.8,263.6,65.3,-5.2,-8.3,-14.9,31.1,95,64,72,98,91,,,,top2,,1,2026-06-08
25,BDMN,Financial Services,Banks - Regional,16531036,4200.0,241.13,38.08,-52.12,-13.9,90.6,74.6,-8.5,-7.4,14.7,55.5,95,92,99,98,87,,,top1,top2,,2,2026-06-08
26,IMPC,Industrials,Building Products & Equipment,23724760,1530.0,237.33,-148.6,-225.26,-62.2,416.9,32.9,-14.1,-19.1,-26.6,-35.0,94,22,34,26,96,,,,,,0,2026-06-08
27,BOBA,Consumer Defensive,Packaged Foods,5686093,282.0,230.99,26.8,-80.3,-10.5,93.9,80.4,6.7,5.3,23.2,46.1,94,75,99,96,89,,,top1,,,1,2026-06-08
28,KETR,Technology,Communication Equipment,51987516,560.0,224.9,62.47,23.25,-62.2,187.2,28.4,-3.7,-4.8,8.3,-9.3,94,97,82,92,93,,,,,,0,2026-06-08
29,SINI,Basic Materials,Lumber & Wood Production,1045090,9400.0,223.37,-94.44,-145.58,-51.0,206.2,39.2,-12.5,-15.5,-25.9,-4.7,94,25,36,94,93,,,,,,0,2026-06-08
30,CLAY,Consumer Cyclical,Lodging,40586,2780.0,223.36,-25.33,-38.58,-23.8,314.9,70.8,-3.1,-3.5,-1.3,7.3,93,90,86,72,94,,,,,,0,2026-06-08
31,TALF,Consumer Cyclical,Packaging & Containers,317756,680.0,219.67,29.15,53.59,-30.3,143.6,57.6,-12.6,-8.8,-4.8,22.5,93,93,81,93,92,,,,,,0,2026-06-08
32,MBSS,Industrials,Marine Shipping,4138000,2300.0,218.18,61.06,1.01,-37.7,102.6,45.6,-2.9,0.6,10.2,25.1,93,89,97,97,88,,,,,,0,2026-06-08
33,FLMC,Consumer Defensive,Household & Personal Products,872686,149.0,217.6,-39.28,-127.49,-53.7,263.4,38.4,0.1,-4.5,-3.9,-9.7,93,67,89,39,95,,,,,,0,2026-06-08
34,ALKA,Basic Materials,Aluminum,637293,610.0,217.59,28.36,38.22,-44.0,110.3,40.0,9.6,11.0,-2.9,30.1,93,89,93,97,89,,,,,,0,2026-06-08
35,ADES,Consumer Defensive,Beverages - Non-Alcoholic,57443,21300.0,217.26,45.38,20.11,-8.6,108.3,84.7,-0.0,-1.2,11.6,34.5,92,95,98,94,90,,,top2,,,1,2026-06-08
36,GULA,Consumer Defensive,Farm Products,33849330,500.0,216.07,104.02,117.59,-8.3,111.9,85.4,0.3,8.9,27.9,39.9,92,99,98,93,83,,top1,top2,,,2,2026-06-08
37,UNIC,Basic Materials,Chemicals,24156,12575.0,215.49,49.24,33.15,-9.6,83.6,81.2,-4.7,0.5,10.5,40.6,92,98,97,96,88,,top2,,,,1,2026-06-08
38,TRIN,Real Estate,Real Estate - Development,4603293,312.0,212.98,-218.46,-94.52,-82.1,246.7,13.5,-25.4,-37.9,-53.2,-52.2,92,1,1,27,94,,,,,,0,2026-06-08
39,JMAS,Financial Services,Insurance - Life,3529350,258.0,207.94,55.39,49.85,-21.3,106.4,65.5,-5.8,-3.5,4.6,28.5,92,96,92,98,89,,,,top2,,1,2026-06-08
40,LFLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",91830,510.0,203.66,-21.72,-23.32,-39.0,132.1,47.1,6.1,-2.1,-5.8,-0.9,91,80,80,57,92,,,,,,0,2026-06-08
41,SMMT,Energy,Thermal Coal,648603,1630.0,202.55,-69.96,-218.76,-40.1,95.2,42.2,-6.7,-13.7,-10.8,13.1,91,17,98,80,86,,,top2,,,1,2026-06-08
42,NEST,Consumer Defensive,Farm Products,4618243,492.0,202.4,62.52,20.25,-16.6,93.7,70.8,-2.9,-5.3,13.8,35.3,91,97,97,95,79,,,,,,0,2026-06-08
43,AMAN,Real Estate,Real Estate - Development,1760933,226.0,199.18,-2.49,44.64,-40.5,128.3,45.2,-9.5,-13.2,-18.7,5.5,91,69,41,95,91,,,,,,0,2026-06-08
44,TRUK,Industrials,Trucking,754253,326.0,198.62,-91.06,-249.81,-51.0,162.9,37.3,-15.6,-25.0,-24.7,-19.1,90,10,59,35,93,,,,,,0,2026-06-08
45,BULL,Industrials,Marine Shipping,277284840,298.0,197.43,-94.08,-200.27,-56.5,168.5,32.6,-19.2,-26.3,-32.0,-14.6,90,8,27,93,92,,,,,,0,2026-06-08
46,RMKO,Energy,Thermal Coal,6989083,258.0,197.13,-100.79,-43.09,-85.7,186.7,9.8,-19.3,-31.3,-43.9,-36.6,90,2,0,91,93,,,,,,0,2026-06-08
47,PNGO,Consumer Defensive,Farm Products,69706,3430.0,196.7,34.34,30.66,-12.1,111.3,79.4,-1.3,-1.3,-0.5,12.9,90,91,95,90,91,,,,,,0,2026-06-08
48,MRAT,Consumer Defensive,Household & Personal Products,298516,444.0,193.36,60.58,75.53,-37.9,113.5,46.5,0.8,1.2,4.2,10.2,90,96,90,91,87,,,,,,0,2026-06-08
49,FORE,Consumer Cyclical,Restaurants,26328443,645.0,192.64,,,-37.1,72.5,41.6,-12.7,-25.1,-23.8,7.0,89,27,97,92,86,,,,,,0,2026-06-08
50,CBPE,Real Estate,Real Estate - Development,116246,324.0,190.58,45.65,75.56,-15.6,84.1,71.2,9.9,8.4,3.8,16.0,89,95,94,89,84,,,,,,0,2026-06-08
51,MINA,Consumer Cyclical,Lodging,337679223,260.0,190.51,-17.6,-64.88,-59.1,292.5,34.1,-13.0,-17.8,-17.0,-12.9,89,56,41,95,92,,,,,,0,2026-06-08
52,WGSH,Technology,Software - Infrastructure,2607216,141.0,186.89,87.75,120.31,-11.3,80.8,77.8,12.9,27.0,23.2,16.9,89,99,95,84,84,,top1,,,,1,2026-06-08
53,TOTL,Industrials,Engineering & Construction,3881660,1020.0,185.96,16.46,-5.53,-10.8,70.4,77.4,-2.5,-4.5,-2.1,13.5,88,84,94,90,85,,,,,,0,2026-06-08
54,JARR,Consumer Defensive,Farm Products,1296223,1285.0,185.72,-133.08,-179.12,-84.3,256.9,11.8,-16.5,-25.6,-36.3,-53.1,88,9,13,5,95,,,,,,0,2026-06-08
55,ASGR,Industrials,Specialty Business Services,1455270,1395.0,185.19,-22.96,-62.65,-18.8,84.0,66.3,-3.9,-8.4,-9.3,12.0,88,62,88,91,88,,,,,,0,2026-06-08
56,UDNG,Consumer Defensive,Farm Products,1858970,1170.0,184.82,-38.71,332.61,-77.5,279.9,17.6,-5.9,-5.5,9.2,-53.1,88,99,2,2,96,,top1,,,,1,2026-06-08
57,AMIN,Industrials,Specialty Industrial Machinery,972893,262.0,182.71,49.98,51.86,-10.9,85.1,79.0,0.3,2.9,6.4,5.9,88,97,91,80,89,,,,,,0,2026-06-08
58,WIIM,Consumer Defensive,Tobacco,3199623,1400.0,181.69,-27.7,-10.93,-29.1,103.9,55.3,-12.3,-15.8,-18.1,-4.1,87,48,50,85,90,,,,,,0,2026-06-08
59,KONI,Consumer Cyclical,Specialty Retail,121790,2230.0,180.95,-12.53,-120.6,-41.0,85.8,39.9,-10.1,-18.3,-4.7,1.0,87,42,95,52,82,,,,,,0,2026-06-08
60,ARCI,Basic Materials,Gold,46700220,1015.0,180.58,-69.06,-74.9,-49.1,201.1,40.9,-11.6,-17.3,-27.4,-23.9,87,21,25,61,93,,,,,,0,2026-06-08
61,ADRO,Energy,Thermal Coal,70750290,2240.0,177.13,18.53,26.88,-13.8,54.9,68.8,-1.8,-5.0,-6.3,16.3,87,80,91,93,78,,,,,,0,2026-06-08
62,MERK,Healthcare,Drug Manufacturers - Specialty & Generic,110753,3585.0,175.05,22.97,-25.97,-11.9,38.4,67.3,-2.5,-4.2,1.5,19.4,87,76,97,91,62,,,,,,0,2026-06-08
63,MSJA,Consumer Cyclical,Textile Manufacturing,12139800,392.0,173.11,-9.93,-39.27,-26.7,39.8,43.9,-3.7,-6.8,-14.9,8.4,86,46,90,94,77,,,,,,0,2026-06-08
64,BIPI,Industrials,Infrastructure Operations,975976986,137.0,172.48,-76.54,-72.86,-56.9,82.7,25.5,-18.5,-27.1,-38.1,-9.3,86,6,29,97,84,,,,,,0,2026-06-08
65,SAFE,Industrials,Railroads,464903,304.0,171.18,22.16,36.36,-30.9,79.9,49.8,-3.6,-7.6,-14.5,-0.1,86,66,62,90,87,,,,,,0,2026-06-08
66,GGRM,Consumer Defensive,Tobacco,1221693,14600.0,169.58,17.97,-0.96,-17.3,78.3,67.8,-8.3,-10.7,-4.8,4.0,86,81,81,75,81,,,,,,0,2026-06-08
67,TCPI,Industrials,Marine Shipping,4069373,9300.0,168.87,-12.66,-14.51,-31.2,83.4,50.0,-12.8,-15.9,-19.9,2.7,85,59,66,91,81,,,,,,0,2026-06-08
68,KSIX,Real Estate,Real Estate - Development,96150,334.0,166.47,31.64,25.33,-25.8,75.8,55.4,1.2,0.3,1.0,2.2,85,95,77,68,84,,,,,,0,2026-06-08
69,IDPR,Industrials,Engineering & Construction,86656,296.0,166.3,31.24,43.61,-55.2,68.8,24.9,-1.1,-1.2,-2.1,-5.0,85,90,91,79,83,,,,,,0,2026-06-08
70,APLN,Real Estate,Real Estate - Development,86736376,132.0,165.01,-48.19,-87.91,-38.9,51.7,34.9,-7.2,-15.4,-21.6,1.7,85,14,84,92,76,,,,,,0,2026-06-08
71,DGNS,Healthcare,Diagnostics & Research,3228720,220.0,163.83,-8.47,19.07,-32.9,57.1,42.6,-3.3,-8.9,-17.8,2.0,85,53,50,96,73,,,,,,0,2026-06-08
72,MARK,Healthcare,Medical Instruments & Supplies,14108213,790.0,162.57,41.28,37.45,-3.9,40.9,87.8,-1.9,-1.7,2.1,12.0,84,95,93,90,64,,,,,,0,2026-06-08
73,SOCI,Industrials,Marine Shipping,14536750,290.0,161.42,-58.68,-48.94,-61.1,83.4,22.5,-20.2,-27.1,-36.2,-23.3,84,11,9,94,87,,,,,,0,2026-06-08
74,FORU,Communication Services,Advertising Agencies,225346,1620.0,159.91,34.21,-5.72,-9.7,61.2,77.8,9.7,13.9,23.4,22.4,84,99,87,95,49,,top1,,,,1,2026-06-08
75,TAPG,Consumer Defensive,Farm Products,34153103,1360.0,159.2,-26.35,-30.7,-32.3,69.2,46.1,-4.6,-12.0,-19.5,-11.6,84,30,89,70,85,,,,,,0,2026-06-08
76,MAPI,Consumer Cyclical,Department Stores,41810453,1485.0,158.83,41.09,24.12,-1.3,37.5,95.3,-0.7,-0.2,10.0,18.1,83,98,96,89,61,,top2,,,,1,2026-06-08
77,MEGA,Financial Services,Banks - Regional,162046,1810.0,158.02,-13.0,-37.85,-38.6,16.4,18.3,-1.5,-4.2,-18.5,1.1,83,36,96,88,56,,,,,,0,2026-06-08
78,WINS,Industrials,Marine Shipping,2137182,486.0,158.0,16.42,6.35,-14.7,45.2,64.3,-2.8,-6.2,-5.8,3.2,83,78,80,87,78,,,,,,0,2026-06-08
79,MUTU,Industrials,Specialty Business Services,7603586,117.0,157.91,45.31,28.02,-14.6,33.0,59.2,11.0,10.5,11.3,7.8,83,96,93,82,65,,,,,,0,2026-06-08
80,PSAB,Basic Materials,Gold,76871960,500.0,156.85,25.11,5.65,-29.6,73.6,50.2,4.8,5.8,-1.1,-7.4,83,82,79,67,84,,,,,,0,2026-06-08
81,ADMR,Basic Materials,Coking Coal,42155390,1400.0,156.83,-12.38,23.76,-36.9,55.5,37.9,-4.3,-10.7,-19.3,-7.2,82,42,44,85,83,,,,,,0,2026-06-08
82,SSIA,Industrials,Engineering & Construction,24458516,1525.0,156.65,27.89,3.98,-47.2,74.0,32.2,-6.7,-8.0,-3.8,-11.4,82,75,93,76,88,,,,,,0,2026-06-08
83,KICI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1494333,180.0,155.83,13.14,2.93,-44.1,68.2,34.0,-8.7,-12.2,-13.7,-10.2,82,56,73,40,82,,,,,,0,2026-06-08
84,ALII,Industrials,Marine Shipping,4475703,745.0,155.52,-21.03,-70.51,-43.1,45.9,29.3,-9.6,-12.4,-12.3,-2.0,82,45,56,88,80,,,,,,0,2026-06-08
85,CGAS,Energy,Oil & Gas Refining & Marketing,9131986,148.0,154.89,-2.32,-3.67,-36.2,70.1,42.1,-12.0,-13.7,-12.8,-9.7,82,67,76,73,81,,,,,,0,2026-06-08
86,OASA,Utilities,Utilities - Renewable,80044280,256.0,153.96,-35.29,-80.82,-50.8,84.2,30.7,-23.8,-30.5,-26.2,-15.2,81,19,27,89,86,,,,,,0,2026-06-08
87,IFSH,Basic Materials,Other Industrial Metals & Mining,89286,1050.0,153.77,-118.03,-108.08,-67.1,43.4,12.9,-25.3,-35.4,-50.5,-25.9,81,1,41,93,72,,,,,,0,2026-06-08
88,ITMA,Basic Materials,Other Industrial Metals & Mining,385263,1340.0,153.62,-19.55,38.54,-51.8,84.8,29.9,-21.2,-29.7,-32.8,-21.7,81,27,22,72,83,,,,,,0,2026-06-08
89,DNET,Communication Services,Telecom Services,14123,10075.0,153.27,42.52,41.45,-8.0,15.5,60.7,1.2,3.9,6.7,10.0,81,96,95,88,47,,,,,,0,2026-06-08
90,MSIN,Communication Services,Entertainment,36815433,540.0,152.63,-30.32,-88.79,-59.1,84.9,24.1,16.3,-2.5,-26.9,-2.0,80,20,94,86,62,,,,,,0,2026-06-08
91,INTD,Basic Materials,Paper & Paper Products,645230,248.0,151.72,34.8,51.15,-36.4,39.3,33.0,-1.2,0.0,-1.9,5.3,80,93,69,89,71,,,,,,0,2026-06-08
92,AUTO,Consumer Cyclical,Auto Parts,2750460,2440.0,151.7,15.47,4.08,-10.3,35.6,69.5,-2.6,-4.2,-3.7,1.1,80,83,87,81,71,,,,,,0,2026-06-08
93,GHON,Communication Services,Telecom Services,15200,1765.0,151.19,28.95,28.44,-10.6,18.0,56.2,-2.0,-2.0,-1.7,2.1,80,91,88,84,68,,,,,,0,2026-06-08
94,GJTL,Consumer Cyclical,Auto Parts,5984110,1050.0,150.77,21.53,0.22,-8.9,20.1,63.1,-4.6,-5.4,-3.2,4.9,80,82,92,85,60,,,,,,0,2026-06-08
95,WEHA,Industrials,Railroads,32158376,121.0,150.31,29.71,22.58,-27.5,29.9,37.7,-6.5,-2.8,-1.9,1.4,79,92,79,90,71,,,,,,0,2026-06-08
96,SURE,Energy,Oil & Gas Integrated,11513,2870.0,149.23,36.99,37.62,-34.0,27.6,29.5,8.5,9.1,7.2,2.9,79,95,92,86,69,,,,,,0,2026-06-08
97,INCO,Basic Materials,Other Industrial Metals & Mining,27110473,4570.0,148.32,-54.8,-105.05,-42.2,58.3,33.6,-5.6,-11.6,-21.5,-11.1,79,24,38,85,82,,,,,,0,2026-06-08
98,ASPI,Consumer Cyclical,Residential Construction,892773,340.0,148.27,32.11,40.49,-72.2,153.7,18.9,-9.0,-20.0,-15.3,-38.5,79,73,69,15,91,,,,,,0,2026-06-08
99,PTBA,Energy,Thermal Coal,16446523,2590.0,147.43,11.83,20.28,-18.6,19.4,41.6,-5.6,-6.8,-10.2,1.7,78,73,89,87,57,,,,,,0,2026-06-08
100,LPIN,Consumer Cyclical,Auto Parts,688140,386.0,145.8,20.78,19.43,-12.4,21.2,55.2,-3.1,-4.9,-6.2,-4.7,78,76,86,74,70,,,,,,0,2026-06-08
101,DRMA,Consumer Cyclical,Auto Parts,2303153,975.0,145.78,28.55,17.64,-6.7,12.3,60.3,-0.2,-0.9,1.4,1.8,78,92,88,83,56,,,,,,0,2026-06-08
102,ITMG,Energy,Thermal Coal,2161366,21900.0,145.63,6.86,17.18,-24.2,7.7,18.4,-2.2,-5.3,-12.5,-2.2,78,63,90,82,56,,,,,,0,2026-06-08
103,ASJT,Financial Services,Insurance - Property & Casualty,296220,141.0,145.31,-9.08,11.78,-44.2,37.6,25.6,-15.9,-18.9,-22.7,-10.8,78,41,46,86,74,,,,,,0,2026-06-08
104,TUGU,Financial Services,Insurance - Diversified,2633133,1060.0,145.09,9.17,2.53,-21.4,25.8,43.0,-6.2,-8.2,-8.7,0.4,77,78,69,88,66,,,,,,0,2026-06-08
105,TFAS,Industrials,Staffing & Employment Services,315763,179.0,144.92,1.87,-10.52,-56.3,50.4,20.6,-13.1,-14.9,-17.4,-22.1,77,50,60,45,79,,,,,,0,2026-06-08
106,LMAX,Energy,Oil & Gas Refining & Marketing,667953,83.0,144.45,-150.11,-154.9,-63.3,118.4,23.9,-25.0,-35.1,-44.1,-34.2,77,2,16,81,90,,,,,,0,2026-06-08
107,LIVE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",757566,202.0,144.23,7.06,-33.45,-41.6,47.4,31.1,-3.5,-6.1,-6.6,-8.0,77,70,58,87,74,,,,,,0,2026-06-08
108,SSTM,Consumer Cyclical,Textile Manufacturing,290943,370.0,143.99,-86.1,-87.25,-90.4,127.0,5.6,-23.2,-29.5,-39.2,-62.8,77,8,0,12,91,,,,,,0,2026-06-08
109,BAJA,Basic Materials,Steel,3251573,136.0,143.52,-5.01,-33.98,-31.0,58.1,45.0,-4.4,-6.4,-10.2,-11.3,76,52,67,57,82,,,,,,0,2026-06-08
110,TRIM,Financial Services,Capital Markets,250400,486.0,143.51,7.51,-1.17,-36.5,50.9,37.0,-2.4,-5.4,-10.0,-12.1,76,60,67,52,73,,,,,,0,2026-06-08
111,MDKA,Basic Materials,Other Industrial Metals & Mining,107061593,2570.0,143.16,-28.18,-39.11,-34.8,42.4,35.8,-2.4,-2.5,-14.8,-5.7,76,43,48,84,76,,,,,,0,2026-06-08
112,BTPN,Financial Services,Banks - Regional,181516,2160.0,143.1,39.18,39.16,-13.9,12.4,40.7,-6.6,-5.3,2.2,2.7,76,97,91,82,47,,,,,,0,2026-06-08
113,DWGL,Energy,Thermal Coal,947206,264.0,142.34,40.32,25.87,-72.2,25.7,7.3,5.0,-0.2,-0.7,-22.6,75,88,91,52,55,,,,,,0,2026-06-08
114,JPFA,Consumer Defensive,Farm Products,17708816,1935.0,141.98,22.52,32.6,-30.1,43.7,41.4,-19.7,-21.6,-20.4,-14.2,75,64,76,63,63,,,,,,0,2026-06-08
115,PRDA,Healthcare,Diagnostics & Research,884466,2360.0,141.7,29.98,38.41,-17.2,9.5,29.4,-7.3,-7.9,-3.6,-0.9,75,93,93,83,50,,,,,,0,2026-06-08
116,CFIN,Financial Services,Credit Services,1857003,316.0,141.47,16.66,10.99,-10.2,10.9,46.2,-6.0,-7.1,-6.7,-3.2,75,80,87,78,61,,,,,,0,2026-06-08
117,ISSP,Basic Materials,Steel,1492120,404.0,141.45,4.3,14.03,-26.5,44.3,45.9,-3.2,-3.6,-10.1,-8.6,75,73,57,76,78,,,,,,0,2026-06-08
118,MCOL,Energy,Thermal Coal,77606,3550.0,141.22,29.09,25.5,-21.4,14.2,31.4,-1.6,-4.2,-6.5,-0.8,74,85,96,81,27,,,,,,0,2026-06-08
119,RUNS,Technology,Software - Application,1158100,75.0,141.01,9.29,6.13,-46.0,56.2,29.7,-7.2,-8.4,-10.7,-20.4,74,74,65,49,80,,,,,,0,2026-06-08
120,NAYZ,Consumer Defensive,Packaged Foods,41049710,66.0,140.9,32.16,23.4,-65.3,69.2,17.9,23.4,15.7,3.3,-23.8,74,94,55,33,75,,,,,,0,2026-06-08
121,AKRA,Energy,Oil & Gas Refining & Marketing,19516030,1220.0,140.75,-7.77,-31.02,-20.8,18.3,37.1,-4.0,-10.1,-12.0,-2.1,73,59,86,83,55,,,,,,0,2026-06-08
122,INDY,Energy,Thermal Coal,24984766,2000.0,140.75,-78.32,-104.21,-52.6,56.4,24.5,-10.6,-21.3,-36.6,-23.8,73,5,22,81,76,,,,,,0,2026-06-08
123,ELSA,Energy,Oil & Gas Equipment & Services,44699906,575.0,140.7,-51.93,-70.75,-42.5,30.6,24.1,-7.7,-12.5,-18.7,-4.5,73,30,50,84,73,,,,,,0,2026-06-08
124,EXCL,Communication Services,Telecom Services,8264483,2650.0,140.64,23.74,23.57,-41.0,29.9,24.9,-4.7,-7.8,-11.2,-10.4,73,72,74,83,71,,,,,,0,2026-06-08
125,PBSA,Industrials,Engineering & Construction,2780623,650.0,140.41,-69.81,-83.42,-75.8,86.2,12.9,-17.9,-20.3,-35.7,-44.9,73,7,11,18,90,,,,,,0,2026-06-08
126,PUDP,Real Estate,Real Estate Services,582013,330.0,140.16,29.1,24.76,-75.9,60.2,10.7,4.0,2.6,1.2,-37.4,73,94,62,3,79,,,,,,0,2026-06-08
127,SOHO,Healthcare,Medical Distribution,148896,1140.0,139.87,-63.01,13.69,-66.3,88.0,19.2,-21.9,-27.7,-36.2,-30.3,72,10,5,32,88,,,,,,0,2026-06-08
128,MAIN,Consumer Defensive,Packaged Foods,3686253,673.0,139.78,-4.26,-7.23,-33.2,25.0,28.7,-10.3,-12.2,-20.4,-10.2,72,37,85,65,59,,,,,,0,2026-06-08
129,TBMS,Industrials,Metal Fabrication,34806,1170.0,139.49,17.46,31.84,-25.0,42.7,47.3,-7.8,-9.4,-10.7,-10.6,72,65,68,63,76,,,,,,0,2026-06-08
130,LABS,Healthcare,Medical Devices,13870486,137.0,138.19,16.44,20.2,-36.6,14.2,17.7,-4.3,-14.3,-12.8,-6.1,72,82,84,78,60,,,,,,0,2026-06-08
131,MREI,Financial Services,Insurance - Reinsurance,72596,945.0,137.92,20.59,36.36,-33.5,42.7,37.3,-3.2,-4.4,-7.1,-7.6,72,77,64,78,74,,,,,,0,2026-06-08
132,HMSP,Consumer Defensive,Tobacco,20097726,630.0,137.91,5.9,-3.49,-27.0,31.2,39.1,-6.4,-7.1,-7.9,-8.9,71,71,60,61,67,,,,,,0,2026-06-08
133,NASI,Consumer Defensive,Farm Products,2987326,110.0,137.7,-42.26,-51.05,-41.5,48.6,31.6,-10.2,-14.5,-23.2,-13.1,71,35,29,86,76,,,,,,0,2026-06-08
134,AADI,Energy,Thermal Coal,16634243,7575.0,137.63,-45.58,-45.29,-35.1,20.5,23.9,-7.4,-11.1,-23.4,-7.9,71,25,68,74,63,,,,,,0,2026-06-08
135,ADMF,Financial Services,Credit Services,152790,8000.0,137.19,16.34,0.63,-10.9,7.4,36.2,-3.7,-5.1,-4.3,-2.1,71,74,88,79,48,,,,,,0,2026-06-08
136,MPXL,Industrials,Trucking,3734786,144.0,136.89,5.6,-20.52,-51.0,37.1,20.6,-5.2,-12.6,-11.4,-19.9,70,68,77,29,64,,,,,,0,2026-06-08
